"uid","uname","bid","course","lid","chapter","total_attempt","total_error","accuracy"
"169776","Cornwarrior102","57374","Short & Sweet: Chess Swindles","0","When to enter 'Swindle Mode'","107","2","98.13"
"169812","NunoF","4520","Sicilian Defence, Pin Variation: Based on Free GM Lecture","0","1. Main Level","124","3","97.58"
"169812","NunoF","5193","100 Endgames You Must Know","0","2. Basic Endings","301","22","92.69"
"169812","NunoF","5193","100 Endgames You Must Know","1","4. Knight vs. Pawn","233","21","90.99"
"169812","NunoF","5193","100 Endgames You Must Know","2","5. Queen vs. Pawn","252","18","92.86"
"169812","NunoF","5193","100 Endgames You Must Know","3","6. Rook vs. Pawn","953","78","91.82"
"169812","NunoF","5193","100 Endgames You Must Know","4","7. Rook vs. 2 Pawns","119","11","90.76"
"169812","NunoF","5193","100 Endgames You Must Know","8","3. Basic Test","184","47","74.46"
"169812","NunoF","5193","100 Endgames You Must Know","11","13. Pawn endings","159","6","96.23"
"169812","NunoF","5193","100 Endgames You Must Know","15","1. Introduction","85","4","95.29"
"169812","NunoF","6371","Basic Endgames","0","1. Main Level","54","2","96.3"
"169812","NunoF","6371","Basic Endgames","1","2. Pawn Endgames","1057","31","97.07"
"169812","NunoF","6371","Basic Endgames","2","3. Mating with Q+K v K","209","7","96.65"
"169812","NunoF","6371","Basic Endgames","3","4. Queen v pawn","162","18","88.89"
"169812","NunoF","6371","Basic Endgames","4","6. Rook endings","80","4","95"
"169812","NunoF","6371","Basic Endgames","5","5. Mating with king and rook.","36","0","100"
"169812","NunoF","7167","Short & Sweet: The Ruy Lopez","1","1. S&S: The Ruy Lopez","1907","147","92.29"
"169812","NunoF","12376","Chess Calculation Training: Middlegames","14","2. Warm Up","53","15","71.7"
"169812","NunoF","13043","Learn Chess the Right Way - Book 4: Sacrifice to Win!","1","2. Queen Sacrifice to Checkmate!","103","18","82.52"
"169812","NunoF","13043","Learn Chess the Right Way - Book 4: Sacrifice to Win!","2","3. Rook Sacrifice to Checkmate!","63","5","92.06"
"169812","NunoF","13157","Learn Chess The Right Way - Book 5: Finding Winning Moves!","7","2. Quiet Moves to Checkmate","288","66","77.08"
"169812","NunoF","13348","Common Chess Patterns","1","2. Knight Patterns","54","9","83.33"
"169812","NunoF","16078","Small Steps To Giant Improvement","1","2. Protecting Your Children","128","26","79.69"
"169812","NunoF","16078","Small Steps To Giant Improvement","2","3. Avoiding Potholes","190","54","71.58"
"169812","NunoF","16896","Mastering Pawn Endgames: Volume 1","11","1. Square Of The Pawn","27","0","100"
"169812","NunoF","16896","Mastering Pawn Endgames: Volume 1","12","2. Opposition & Key Squares","423","5","98.82"
"169812","NunoF","16896","Mastering Pawn Endgames: Volume 1","13","3. Sacrificing A Pawn","589","17","97.11"
"169812","NunoF","16896","Mastering Pawn Endgames: Volume 1","14","4. Triangulation","54","0","100"
"169812","NunoF","16896","Mastering Pawn Endgames: Volume 1","15","5. Réti's Idea","99","4","95.96"
"169812","NunoF","16896","Mastering Pawn Endgames: Volume 1","16","6. Restricting The King","383","20","94.78"
"169812","NunoF","16896","Mastering Pawn Endgames: Volume 1","17","7. Building A Fortress","26","1","96.15"
"169812","NunoF","16896","Mastering Pawn Endgames: Volume 1","18","8. Breaking Through","140","6","95.71"
"169812","NunoF","17783","Understanding Before Moving 1: Ruy Lopez - Italian Structures","2","2. Pawn Structures","28","5","82.14"
"169812","NunoF","20098","Thematic Tactics: Rook Endgames","1","2. Exchange","60","12","80"
"169812","NunoF","20098","Thematic Tactics: Rook Endgames","3","1. Passed Pawn","106","23","78.3"
"169812","NunoF","20483","The Najdorf Sicilian: Simplified","1","1. Introduction","48","5","89.58"
"169812","NunoF","20483","The Najdorf Sicilian: Simplified","2","2. The Positional 6. Be2","809","66","91.84"
"169812","NunoF","20483","The Najdorf Sicilian: Simplified","3","3. The Sozin 6. Bc4","558","57","89.78"
"169812","NunoF","21159","The Power of Pawns: Chess Structures Fundamentals for Post-Beginners","0","2. The Bishop","101","23","77.23"
"169812","NunoF","21159","The Power of Pawns: Chess Structures Fundamentals for Post-Beginners","1","3. The Knight","313","75","76.04"
"169812","NunoF","21159","The Power of Pawns: Chess Structures Fundamentals for Post-Beginners","2","4. The Rook","165","55","66.67"
"169812","NunoF","21159","The Power of Pawns: Chess Structures Fundamentals for Post-Beginners","3","5. Hanging Pawns","129","48","62.79"
"169812","NunoF","21159","The Power of Pawns: Chess Structures Fundamentals for Post-Beginners","4","6. Isolated Pawns","129","46","64.34"
"169812","NunoF","21159","The Power of Pawns: Chess Structures Fundamentals for Post-Beginners","5","7. Backward Pawns","179","50","72.07"
"169812","NunoF","21159","The Power of Pawns: Chess Structures Fundamentals for Post-Beginners","6","8. Passed Pawns","2","1","50"
"169812","NunoF","23541","Short & Sweet: The Najdorf Sicilian","0","1. Main Level","413","25","93.95"
"169812","NunoF","24575","The Art of Attack in Chess","1","2. Attack against the uncastled king","131","43","67.18"
"169812","NunoF","24575","The Art of Attack in Chess","2","3. Attack on king that has lost the right to castle","46","16","65.22"
"169812","NunoF","24575","The Art of Attack in Chess","3","5. Mating patterns","103","21","79.61"
"169812","NunoF","24575","The Art of Attack in Chess","5","4. On castling and attacking the castled position","14","5","64.29"
"169812","NunoF","25098","The Caro-Kann Starter Kit","0","1. Main Level","6","0","100"
"169812","NunoF","25098","The Caro-Kann Starter Kit","1","2. The Advance Variation","214","38","82.24"
"169812","NunoF","25695","Visualise 1","1","2. Visualise 1 Move Ahead","211","17","91.94"
"169812","NunoF","25695","Visualise 1","2","3. Visualise 2 Moves Ahead","227","26","88.55"
"169812","NunoF","25695","Visualise 1","3","4. Visualise 3 Moves Ahead","101","9","91.09"
"169812","NunoF","25695","Visualise 1","4","5. Visualise 4 Moves Ahead","152","20","86.84"
"169812","NunoF","26772","Short & Sweet: The Dutch","0","1. Main Level","133","14","89.47"
"169812","NunoF","27081","Chess Basics","0","6. Bishop Tactics","53","2","96.23"
"169812","NunoF","27081","Chess Basics","1","4. Pawn Tactics","33","0","100"
"169812","NunoF","27081","Chess Basics","2","5. Knight Tactics","61","4","93.44"
"169812","NunoF","27081","Chess Basics","3","3. Checkmate","315","11","96.51"
"169812","NunoF","27081","Chess Basics","4","9. Stalemate","28","1","96.43"
"169812","NunoF","27081","Chess Basics","5","11. Exercises","107","15","85.98"
"169812","NunoF","27081","Chess Basics","6","12. Difficult Exercises ","58","16","72.41"
"169812","NunoF","27081","Chess Basics","7","10. Defense","50","6","88"
"169812","NunoF","27081","Chess Basics","8","1. Introduction","3","0","100"
"169812","NunoF","27081","Chess Basics","9","2. Capture","87","0","100"
"169812","NunoF","27081","Chess Basics","10","7. Rook Tactics","41","2","95.12"
"169812","NunoF","27081","Chess Basics","11","8. Queen Tactics","61","4","93.44"
"169812","NunoF","27419","The Chess Toolbox 1 - Exchange your Way to Victory","1","2. Simplification","77","1","98.7"
"169812","NunoF","27540","Mating the Castled King","2","2. A Few Helpful Ideas","185","44","76.22"
"169812","NunoF","27540","Mating the Castled King","4","3. Pawns and Pieces","165","39","76.36"
"169812","NunoF","27755","Chess Strategy for Club Players","2","1. Steinitz's Elements","38","14","63.16"
"169812","NunoF","27755","Chess Strategy for Club Players","3","2. The eye of the grandmaster","37","14","62.16"
"169812","NunoF","27755","Chess Strategy for Club Players","4","3. Thought process and line of thinking","60","16","73.33"
"169812","NunoF","27755","Chess Strategy for Club Players","5","4. Material advantage","109","33","69.72"
"169812","NunoF","27755","Chess Strategy for Club Players","6","5. Weakened king position","169","41","75.74"
"169812","NunoF","27755","Chess Strategy for Club Players","7","6. Passed pawn","213","44","79.34"
"169812","NunoF","27755","Chess Strategy for Club Players","8","7. Weak pawns","214","44","79.44"
"169812","NunoF","30038","Winning Chess Strategies","3","3. Making the Most of a Material Advantage","138","44","68.12"
"169812","NunoF","30038","Winning Chess Strategies","4","4. Stopping Enemy Counterplay","152","54","64.47"
"169812","NunoF","30038","Winning Chess Strategies","5","5. Understanding Where the Pieces Go","444","138","68.92"
"169812","NunoF","30038","Winning Chess Strategies","6","6. Superior Minor Pieces","218","64","70.64"
"169812","NunoF","30038","Winning Chess Strategies","7","7. How to Use Pawns","354","118","66.67"
"169812","NunoF","30038","Winning Chess Strategies","8","8. The Creation of Targets","182","64","64.84"
"169812","NunoF","30038","Winning Chess Strategies","9","9. Territorial Domination","148","60","59.46"
"169812","NunoF","30038","Winning Chess Strategies","10","10. Attacking the King","34","12","64.71"
"169812","NunoF","31190","Short & Sweet: The Sicilian Dragon","0","1. S&S: The Sicilian Dragon","567","49","91.36"
"169812","NunoF","31820","Short & Sweet: Anti-Sicilians ","0","1. S&S: Anti-Sicilians","78","4","94.87"
"169812","NunoF","34082","Short & Sweet: Queen's Gambit Declined","0","1. S&S: Queen's Gambit Declined","684","79","88.45"
"169812","NunoF","34094","Moves Ahead 1: Vision in Calculating Mate","1","2. Two Moves Ahead","60","8","86.67"
"169812","NunoF","34094","Moves Ahead 1: Vision in Calculating Mate","2","3. Three Moves Ahead","27","3","88.89"
"169812","NunoF","34506","Chess Lessons: Solving Problems & Avoiding Mistakes by Mark Dvoretsky","1","2. Lessons from a Certain Game","39","15","61.54"
"169812","NunoF","35666","1001 Checkmate Exercises: Learn from the Masters","2","2.  Mate in 1: Exercises 1 - 100","61","8","86.89"
"169812","NunoF","35666","1001 Checkmate Exercises: Learn from the Masters","3","3.  Mate in 1: Exercises 101 - 200","18","0","100"
"169812","NunoF","35666","1001 Checkmate Exercises: Learn from the Masters","4","4. Mate in 1 with info lines: Exercises 201 - 300","27","3","88.89"
"169812","NunoF","35666","1001 Checkmate Exercises: Learn from the Masters","6","6. Mate in 2: Exercises 301 - 400","44","15","65.91"
"169812","NunoF","36968","Winning Chess Tactics","3","2: The Double Attack","268","47","82.46"
"169812","NunoF","36968","Winning Chess Tactics","4","3: The Pin","63","16","74.6"
"169812","NunoF","36968","Winning Chess Tactics","13","4: The Skewer","11","4","63.64"
"169812","NunoF","36968","Winning Chess Tactics","26","5: King Tactics and Combinations","29","9","68.97"
"169812","NunoF","37366","Lifetime Repertoires: Caro-Kann","21","Quickstarter Guide","710","42","94.08"
"169812","NunoF","38346","Forwarding and Reversing the Tactics of Mikhail Tal Part 1: 1949-1970","1","2. Sets 001-018 Elementary","19","3","84.21"
"169812","NunoF","39556","Chess Principles Reloaded - Center","13","2. Seize the Center","248","76","69.35"
"169812","NunoF","39556","Chess Principles Reloaded - Center","14","3. A Dominating Pawn Center","346","80","76.88"
"169812","NunoF","46181","Basic Chess Patterns ","2","2. Isolated Patterns","58","8","86.21"
"169812","NunoF","46181","Basic Chess Patterns ","3","3. Test Section","72","13","81.94"
"169812","NunoF","48079","The Magnus Touch: Free Endgame Lesson","1","1. The Magnus Touch: Free Endgame Lesson","51","17","66.67"
"169812","NunoF","48354","Short & Sweet: French Defense","0","1. Main Level","642","66","89.72"
"169812","NunoF","48516","25 Visualisation Exercises","2","2. Visualise 1 Sample Exercises","48","6","87.5"
"169812","NunoF","48516","25 Visualisation Exercises","3","3. Visualise 5 Sample Exercies","17","1","94.12"
"169812","NunoF","48516","25 Visualisation Exercises","4","4. Visualise 4 Sample Exercises","46","13","71.74"
"169812","NunoF","48516","25 Visualisation Exercises","5","5. Visualise 3 Sample Exercises","25","4","84"
"169812","NunoF","49094","The Initiative in Chess - a How to Guide","3","1. Introduction","29","12","58.62"
"169812","NunoF","49094","The Initiative in Chess - a How to Guide","4","2. Dynamics and Initiative in the Middlegame","206","63","69.42"
"169812","NunoF","49442","The Fierce Nimzo-Indian","14","Quickstarter Guide","823","74","91.01"
"169812","NunoF","51959","Chess Strategy for Kids","1","The Centre, Development and Space","448","24","94.64"
"169812","NunoF","51959","Chess Strategy for Kids","2","Pawns","360","15","95.83"
"169812","NunoF","51959","Chess Strategy for Kids","6","Introduction","16","2","87.5"
"169812","NunoF","53504","Short & Sweet: Nimzo-Indian","0","Main Level","479","55","88.52"
"169812","NunoF","53903","Chess Tactics Workbook for Kids","1","Chapter 1: Fork","352","76","78.41"
"169812","NunoF","53903","Chess Tactics Workbook for Kids","2","Chapter 2: Pin","438","97","77.85"
"169812","NunoF","53903","Chess Tactics Workbook for Kids","3","Chapter 3: Skewer","315","68","78.41"
"169812","NunoF","53903","Chess Tactics Workbook for Kids","4","Chapter 4: Deflection and Decoy","221","40","81.9"
"169812","NunoF","53903","Chess Tactics Workbook for Kids","5","Chapter 5: Discovered Attack","139","35","74.82"
"169812","NunoF","54015","Winning Chess Combinations: Free Lesson","1","Winning Chess Combinations: Free Lesson","54","17","68.52"
"169812","NunoF","55957","The Psychology of Chess Tactics ","0","Course Introduction ","27","6","77.78"
"169812","NunoF","55957","The Psychology of Chess Tactics ","1","The Opening in Theory and Practice ","286","51","82.17"
"169812","NunoF","55957","The Psychology of Chess Tactics ","3","Reflexes, Forbidden Squares and Backwards Moves","251","58","76.89"
"169812","NunoF","55957","The Psychology of Chess Tactics ","4","The Process of Solving a Chess Puzzle ","63","14","77.78"
"169812","NunoF","55957","The Psychology of Chess Tactics ","11","Avni's ""Surprise in Intention"" and Subtle Threats ","40","13","67.5"
"169812","NunoF","57374","Short & Sweet: Chess Swindles","0","When to enter 'Swindle Mode'","50","15","70"
"169812","NunoF","59936","Grandmaster Gambits: 1. e4","1","Quickstarter Guide","1468","146","90.05"
"169812","NunoF","59936","Grandmaster Gambits: 1. e4","2","Theory 1: 1. e4 e5 2. Nf3 Nc6 3. Bc4 others","104","9","91.35"
"169812","NunoF","62067","Short & Sweet: 1. e4 Gambits","0","S&S: Grandmaster Gambits 1. e4","214","26","87.85"
"169902","jmartins","90","Essential R+P vs. R Endings","0","1. Study Positions","416","10","97.6"
"169902","jmartins","1519","Petroff Defense: Cochrane Gambit","0","1. Main Level","1474","86","94.17"
"169902","jmartins","16475","Knights on the Attack","0","2. Knight moves","752","56","92.55"
"169902","jmartins","16475","Knights on the Attack","1","3. Setting up the Knight","508","70","86.22"
"169902","jmartins","16475","Knights on the Attack","3","4. Additional Tactics","720","96","86.67"
"169902","jmartins","16988","Rooks on the Attack","0","1. Rook Moves","774","106","86.3"
"169902","jmartins","16988","Rooks on the Attack","1","2. Setting up the Rook","396","64","83.84"
"169902","jmartins","16988","Rooks on the Attack","2","3. Additional Exercises","418","84","79.9"
"169902","jmartins","18646","Two Knights Defense","0","1. Intro and 6.d3 line","42","0","100"
"169902","jmartins","23317","Steinitz's Efficient Attacking Masterpiece","0","1. Main Level","358","96","73.18"
"169902","jmartins","27081","Chess Basics","8","1. Introduction","6","0","100"
"169902","jmartins","27081","Chess Basics","9","2. Capture","32","0","100"
"169902","jmartins","27306","Short & Sweet: The Réti","0","1. Main Level","6","0","100"
"169902","jmartins","28831","#TwitterChessTournament Tactics","0","1. Main Level","52","18","65.38"
"169902","jmartins","28831","#TwitterChessTournament Tactics","1","2. Round 1","664","138","79.22"
"169902","jmartins","28831","#TwitterChessTournament Tactics","2","6. Special Focus: pawn endings ","160","28","82.5"
"169902","jmartins","28831","#TwitterChessTournament Tactics","3","3. Round 2","208","44","78.85"
"169902","jmartins","28831","#TwitterChessTournament Tactics","6","4. Round 3","156","34","78.21"
"169902","jmartins","28831","#TwitterChessTournament Tactics","7","5. Round 4","132","28","78.79"
"169902","jmartins","33597","Endgame Bootcamp with John Bartholomew","0","3. Philidor's Position","106","2","98.11"
"169902","jmartins","33597","Endgame Bootcamp with John Bartholomew","1","1. Opposition","102","2","98.04"
"169902","jmartins","33597","Endgame Bootcamp with John Bartholomew","2","2. Key Squares","114","0","100"
"169902","jmartins","33597","Endgame Bootcamp with John Bartholomew","3","4. The Lucena Position","110","4","96.36"
"169902","jmartins","33597","Endgame Bootcamp with John Bartholomew","4","5. Magnus's Mistake","130","2","98.46"
"169902","jmartins","37740","Tactical Resources: Creative Attack & Defense","1","2. Attack","432","94","78.24"
"169902","jmartins","37740","Tactical Resources: Creative Attack & Defense","2","3. Defense","844","180","78.67"
"169902","jmartins","37740","Tactical Resources: Creative Attack & Defense","3","1. Warm Up","332","66","80.12"
"169902","jmartins","37740","Tactical Resources: Creative Attack & Defense","4","4. Cool Down","340","80","76.47"
"169902","jmartins","42325","Double-sided Mates in 1","8","6. Queen Mates in 1","34","6","82.35"
"169902","jmartins","42325","Double-sided Mates in 1","9","3. Knight Mates in 1","34","6","82.35"
"169902","jmartins","42325","Double-sided Mates in 1","10","5. Rook Mates in 1","38","4","89.47"
"169902","jmartins","42325","Double-sided Mates in 1","11","4. Bishop Mates in 1","32","4","87.5"
"169902","jmartins","42325","Double-sided Mates in 1","12","2. Pawn Mates in 1","32","2","93.75"
"169902","jmartins","42325","Double-sided Mates in 1","13","7. Random Mates in 1","80","14","82.5"
"169902","jmartins","42579","Sac, Sac, Mate! ","0","1. Stuck In The Middle With You","42","12","71.43"
"169902","jmartins","42579","Sac, Sac, Mate! ","1","2. Lure the King Out","70","24","65.71"
"169902","jmartins","42579","Sac, Sac, Mate! ","2","3. More Brutal Sacrifices","40","10","75"
"169902","jmartins","42579","Sac, Sac, Mate! ","3","4. Lash Out Like Lasker","30","2","93.33"
"169902","jmartins","42579","Sac, Sac, Mate! ","4","5. Harry Did A Proper Job","62","10","83.87"
"169902","jmartins","44883"," Tactical Resources: Creative Attack & Defense 2","1","1. Warm Up","536","124","76.87"
"169902","jmartins","44883"," Tactical Resources: Creative Attack & Defense 2","44","2. Attack","688","148","78.49"
"169902","jmartins","44883"," Tactical Resources: Creative Attack & Defense 2","45","3. Defense","1132","170","84.98"
"169902","jmartins","44883"," Tactical Resources: Creative Attack & Defense 2","46","4. Cool Down","492","100","79.67"
"169902","jmartins","48536","The Art of Analysis","0","2. Most famous correspondence chess game ever played","266","94","64.66"
"169902","jmartins","48536","The Art of Analysis","2","3. Battle at the edge of an unknown","8","4","50"
"169902","jmartins","49690","1001 Deadly Checkmates","3","Chapter 2: Back-Rank Mates","608","152","75"
"169902","jmartins","49690","1001 Deadly Checkmates","4","Chapter 3: Mate in the Endgame","1750","354","79.77"
"169902","jmartins","49690","1001 Deadly Checkmates","5","Chapter 4: The Lethal Long Diagonal","476","118","75.21"
"169902","jmartins","49690","1001 Deadly Checkmates","6","Chapter 5: Pawn-Promotion Mates","536","116","78.36"
"169902","jmartins","49690","1001 Deadly Checkmates","19","Chapter 1: Elementary Mates","770","108","85.97"
"169902","jmartins","50034","Winning Chess Strategies: Free Lesson","2","1. Winning Chess Strategies: Free Lesson","344","82","76.16"
"169902","jmartins","51996","Short & Sweet: Botvinnik English","0","Main Level","4930","440","91.08"
"169902","jmartins","53504","Short & Sweet: Nimzo-Indian","0","Main Level","1646","116","92.95"
"169902","jmartins","53985","Lifetime Repertoires: 1. c4 / 1. Nf3 Part 1","8","1. Reversed Sicilian Intro/sideline","850","74","91.29"
"169902","jmartins","53985","Lifetime Repertoires: 1. c4 / 1. Nf3 Part 1","15","7. King's Indian Fianchetto main line ...Nbd7 +...c6","264","12","95.45"
"169902","jmartins","53985","Lifetime Repertoires: 1. c4 / 1. Nf3 Part 1","18","Introduction & Quickstarter Guide","2978","244","91.81"
"169902","jmartins","57233","Winning Chess Brilliancies: Free Lesson","1","Slaying the Dragon","394","92","76.65"
"170049","dms12345","6371","Basic Endgames","0","1. Main Level","54","2","96.3"
"170049","dms12345","6371","Basic Endgames","1","2. Pawn Endgames","188","1","99.47"
"170049","dms12345","16896","Mastering Pawn Endgames: Volume 1","11","1. Square Of The Pawn","39","1","97.44"
"170049","dms12345","16896","Mastering Pawn Endgames: Volume 1","12","2. Opposition & Key Squares","157","2","98.73"
"170049","dms12345","46181","Basic Chess Patterns ","2","2. Isolated Patterns","9","3","66.67"
"170049","dms12345","47615","How Good Is Your Chess?","0","1. Steaming Down the Open File","14","6","57.14"
"170133","xberli","5193","100 Endgames You Must Know","0","2. Basic Endings","702","4","99.43"
"170133","xberli","5193","100 Endgames You Must Know","1","4. Knight vs. Pawn","413","12","97.09"
"170133","xberli","5193","100 Endgames You Must Know","2","5. Queen vs. Pawn","1072","33","96.92"
"170133","xberli","5193","100 Endgames You Must Know","3","6. Rook vs. Pawn","725","9","98.76"
"170133","xberli","5193","100 Endgames You Must Know","4","7. Rook vs. 2 Pawns","266","4","98.5"
"170133","xberli","5193","100 Endgames You Must Know","5","8. Same coloured bishops: B+P vs. B","391","5","98.72"
"170133","xberli","5193","100 Endgames You Must Know","6","9.  Bishop vs. Knight: One Pawn","734","27","96.32"
"170133","xberli","5193","100 Endgames You Must Know","7","10.  Opp. Coloured: B+2 Pawns vs. B","1784","32","98.21"
"170133","xberli","5193","100 Endgames You Must Know","8","3. Basic Test","776","28","96.39"
"170133","xberli","5193","100 Endgames You Must Know","9","11. Rook + Pawn vs. Rook","1762","16","99.09"
"170133","xberli","5193","100 Endgames You Must Know","10","12. Rook + two Pawns vs. Rook","1138","26","97.72"
"170133","xberli","5193","100 Endgames You Must Know","11","13. Pawn endings","2692","17","99.37"
"170133","xberli","5193","100 Endgames You Must Know","12","14. Other material relations","3574","92","97.43"
"170133","xberli","5193","100 Endgames You Must Know","13","15. Final Test","2200","81","96.32"
"170133","xberli","5193","100 Endgames You Must Know","15","1. Introduction","171","0","100"
"170133","xberli","27858","Short & Sweet: The Nimzo-Indian","0","1. S&S: The Nimzo-Indian","606","37","93.89"
"170133","xberli","31256","Short and Sweet: Jan Gustafsson's 1. e4 e5","0","1. S&S: Jan Gustafsson's 1. e4 e5","231","8","96.54"
"170133","xberli","32465","Tournament Tactics: Tata Steel Chess 2020","0","1. Preview","174","23","86.78"
"170133","xberli","33597","Endgame Bootcamp with John Bartholomew","1","1. Opposition","12","0","100"
"170133","xberli","40115","The Magnus Touch: Free Strategy Lesson","0","1. The Magnus Touch: Free Strategy Lesson","90","20","77.78"
"170133","xberli","43805","Chessable Masters Tournament","0","1. Day 1","12","3","75"
"170133","xberli","47106","Short & Sweet: Legendary Tactics","1","1. Vasyl Ivanchuk","8","1","87.5"
"170133","xberli","48079","The Magnus Touch: Free Endgame Lesson","1","1. The Magnus Touch: Free Endgame Lesson","46","12","73.91"
"170133","xberli","50034","Winning Chess Strategies: Free Lesson","2","1. Winning Chess Strategies: Free Lesson","35","9","74.29"
"170133","xberli","51996","Short & Sweet: Botvinnik English","0","Main Level","679","46","93.23"
"170133","xberli","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","2","Chapter 1 – Pawn Endgames I","2176","39","98.21"
"170133","xberli","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","3","Chapter 1 – Pawn Endgames II","3908","69","98.23"
"170133","xberli","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","4","Chapter 1 – Pawn Endgames III","6071","192","96.84"
"170133","xberli","53370","Dvoretsky's Endgame Manual 5th edition, revised by GM Karsten Müller","12","Chapter 9 – Rook Endgames I","1077","58","94.61"
"170133","xberli","56567","Lifetime Repertoires: Najdorf Sicilian","8","9: 6.Be3 e5 7.Nb3 Be7 8.f3","415","17","95.9"
"170133","xberli","56567","Lifetime Repertoires: Najdorf Sicilian","22","23: 3. Bb5+ Nd7","2162","104","95.19"
"170133","xberli","56567","Lifetime Repertoires: Najdorf Sicilian","29","29: Various 2nd moves","129","10","92.25"
"170133","xberli","56567","Lifetime Repertoires: Najdorf Sicilian","32","Quickstarter Guide","208","15","92.79"
"170133","xberli","57233","Winning Chess Brilliancies: Free Lesson","1","Slaying the Dragon","40","2","95"
"170133","xberli","57374","Short & Sweet: Chess Swindles","0","When to enter 'Swindle Mode'","82","19","76.83"
"170133","xberli","58407","Short & Sweet: Najdorf Sicilian","0","Main Level","616","2","99.68"
"170133","xberli","59857","Short & Sweet: Wesley So's 1. e4","0","Part 1: 1...e5 and Semi-open Defenses","248","15","93.95"
"170133","xberli","62034","Short & Sweet: 1. c4 / 1. Nf3 ","0","S&S: 1. c4/1. Nf3","570","28","95.09"
"170133","xberli","68285","Simon's Tactics","0","Simon's Tactics: Day 1","39","3","92.31"
"170133","xberli","68285","Simon's Tactics","1","Simon's Tactics: Day 2","62","4","93.55"
"170133","xberli","68285","Simon's Tactics","2","Simon's Tactics: Day 3","51","6","88.24"
"170133","xberli","68285","Simon's Tactics","3","Simon's Tactics: Day 4","42","6","85.71"
"170133","xberli","68285","Simon's Tactics","4","Simon's Tactics: Day 5","51","7","86.27"
"170175","joebetsy","21302","Smithy's Opening Fundamentals","12","2. Section I - General Principles","19","8","57.89"
"170175","joebetsy","28518","Short & Sweet: The Vienna Game","0","1. Main Level","289","29","89.97"
"170175","joebetsy","44883"," Tactical Resources: Creative Attack & Defense 2","1","1. Warm Up","191","47","75.39"
"170175","joebetsy","44883"," Tactical Resources: Creative Attack & Defense 2","44","2. Attack","145","45","68.97"
"170175","joebetsy","44883"," Tactical Resources: Creative Attack & Defense 2","45","3. Defense","42","16","61.9"
"170175","joebetsy","44883"," Tactical Resources: Creative Attack & Defense 2","46","4. Cool Down","52","18","65.38"
"170175","joebetsy","48516","25 Visualisation Exercises","2","2. Visualise 1 Sample Exercises","43","10","76.74"
"170175","joebetsy","48516","25 Visualisation Exercises","3","3. Visualise 5 Sample Exercies","22","6","72.73"
"170175","joebetsy","48516","25 Visualisation Exercises","4","4. Visualise 4 Sample Exercises","25","6","76"
"170175","joebetsy","48516","25 Visualisation Exercises","5","5. Visualise 3 Sample Exercises","9","3","66.67"
"170175","joebetsy","48536","The Art of Analysis","0","2. Most famous correspondence chess game ever played","217","70","67.74"
"170175","joebetsy","48536","The Art of Analysis","2","3. Battle at the edge of an unknown","4","2","50"
"170175","joebetsy","55082","Short & Sweet: Taimanov Sicilian","0","Main Level","978","107","89.06"
"170175","joebetsy","62565","Agadmator's Anti-London System","0","The Combative 4... Qxb2","103","8","92.23"
"170607","JanH","68285","Simon's Tactics","0","Simon's Tactics: Day 1","15","3","80"
"170607","JanH","68285","Simon's Tactics","1","Simon's Tactics: Day 2","18","2","88.89"
"170607","JanH","68285","Simon's Tactics","2","Simon's Tactics: Day 3","19","4","78.95"
"170607","JanH","68285","Simon's Tactics","3","Simon's Tactics: Day 4","16","4","75"
"170607","JanH","68285","Simon's Tactics","4","Simon's Tactics: Day 5","26","4","84.62"
"171651","Gus81","13348","Common Chess Patterns","1","2. Knight Patterns","572","111","80.59"
"171651","Gus81","13348","Common Chess Patterns","2","3. Double Attack Patterns","266","47","82.33"
"171651","Gus81","13348","Common Chess Patterns","3","4. Pin Patterns","357","71","80.11"
"171651","Gus81","13348","Common Chess Patterns","4","5. Double Check Patterns","220","34","84.55"
"171651","Gus81","13348","Common Chess Patterns","5","23. Knight Test Positions","140","34","75.71"
"171651","Gus81","13348","Common Chess Patterns","6","24. Double Attack Test Positions","101","25","75.25"
"171651","Gus81","13348","Common Chess Patterns","7","25. Pins Test Positions","92","23","75"
"171651","Gus81","13348","Common Chess Patterns","8","26. Double Check Test Positions","87","13","85.06"
"171651","Gus81","13348","Common Chess Patterns","9","6. Skewer Patterns","227","43","81.06"
"171651","Gus81","13348","Common Chess Patterns","10","27. Skewer Test Positions","90","18","80"
"171651","Gus81","13348","Common Chess Patterns","11","9. Epaulette Mate Patterns","17","1","94.12"
"171651","Gus81","13348","Common Chess Patterns","12","30. Combined Mate Test Positions","412","64","84.47"
"171651","Gus81","13348","Common Chess Patterns","13","10. Anastasia's Mate Patterns","27","4","85.19"
"171651","Gus81","13348","Common Chess Patterns","14","11. Dovetail Mate Patterns","20","4","80"
"171651","Gus81","13348","Common Chess Patterns","15","12. Morphy's + Corner Mate Patterns","28","5","82.14"
"171651","Gus81","13348","Common Chess Patterns","16","13. Opera Mate Patterns","22","0","100"
"171651","Gus81","13348","Common Chess Patterns","17","15. Arabian Mate Patterns","21","3","85.71"
